Transaction_ID,Transaction_Date,Company_Code,Cost_Center,Profit_Center,Account_Category,Transaction_Type,Amount,Budget,Payment_Status,Department,Currency,Tax_Amount,Profit,Approval_Status,Anomaly_Indicator,Final_Anomaly
TX005450,2024-01-17,C003,CC107,PC206,Procurement,Expense,660134.88,870600.3,Pending,Procurement,INR,115121.44,,Approved,0,0
TX000061,2021-01-21,C001,CC111,PC202,Marketing,Expense,226317.84,255507.62,Paid,Sales,INR,42898.57,,Approved,0,0
TX007730,2025-10-02,C002,CC105,PC206,Marketing,Expense,381300.39,427732.69,Partially Paid,Marketing,INR,70826.38,,Approved,0,0
TX003695,2023-02-14,C002,CC112,PC204,Procurement,Expense,352712.21,360120.03,Partially Paid,Operations,INR,62394.66,,Approved,0,0
TX001800,2022-02-25,C005,CC104,PC206,Sales,Revenue,599713.69,603576.07,Paid,Sales,INR,109719.59,164961.87,Pending,0,0
TX006791,2024-09-02,C004,CC108,PC204,Other,Expense,70076.65,77205.87,Paid,Administration,INR,7123.17,,Approved,0,0
TX002094,2022-04-03,C003,CC111,PC207,Sales,Revenue,167587.77,181150.06,Paid,Sales,INR,29134.42,71889.81,Approved,0,0
TX008024,2025-04-27,C003,CC101,PC203,IT,Expense,209629.73,249186.29,Pending,Finance,INR,37304.29,,Under Review,0,0
TX003141,2022-11-04,C002,CC111,PC207,Office Supplies,Expense,37386.31,44326.22,Partially Paid,Sales,INR,4623.55,,Approved,0,0
TX005245,2023-12-04,C002,CC111,PC207,Other,Expense,151468.87,156218.85,Pending,Sales,INR,15840.34,,Approved,0,0
TX002241,2022-07-05,C002,CC109,PC207,Salaries,Expense,183768.57,183965.99,Pending,Finance,INR,0.0,,Approved,0,0
TX002325,2022-05-17,C002,CC110,PC201,Procurement,Expense,218148.19,184653.8,Paid,IT,INR,37967.67,,Approved,0,0
TX004107,2023-05-30,C001,CC112,PC205,Procurement,Expense,335699.21,317327.44,Partially Paid,Operations,INR,60230.88,,Approved,0,0
TX005769,2024-03-05,C002,CC101,PC207,Salaries,Expense,278504.2,245556.44,Overdue,Finance,INR,0.0,,Approved,0,0
TX004401,2023-06-22,C004,CC107,PC204,Logistics,Expense,198784.46,198599.3,Paid,Procurement,INR,33972.57,,Approved,0,0
TX008985,2025-09-06,C002,CC101,PC204,IT,Expense,564370.62,691700.1,Paid,Finance,INR,102349.92,,Under Review,0,0
TX004548,2023-05-07,C001,CC102,PC203,Sales,Revenue,240081.56,218753.04,Overdue,Sales,INR,44167.36,80898.29,Approved,0,0
TX006505,2024-12-07,C001,CC111,PC201,Marketing,Expense,642727.99,440195.02,Paid,Sales,INR,0.0,,Approved,0,0
TX004477,2023-07-16,C004,CC108,PC204,Other,Expense,51902.41,62195.73,Paid,Administration,INR,5094.01,,Approved,0,0
TX006442,2024-07-24,C004,CC107,PC205,Procurement,Expense,657185.66,645805.16,Paid,Procurement,INR,108867.07,,Approved,0,0
TX008716,2025-07-27,C002,CC105,PC202,Marketing,Expense,715208.88,611083.17,Overdue,Marketing,INR,134284.16,,Approved,0,0
TX000472,2021-04-07,C002,CC105,PC205,IT,Expense,40199.35,38053.54,Partially Paid,Marketing,INR,6974.99,,Under Review,0,0
TX008316,2025-05-08,C002,CC105,PC204,Marketing,Expense,441696.26,476044.38,Partially Paid,Marketing,INR,83511.49,,Approved,0,0
TX004739,2023-04-09,C003,CC101,PC203,Salaries,Expense,455039.47,447800.24,Overdue,Finance,INR,0.0,,Pending,0,0
TX000736,2021-06-09,C002,CC103,PC206,Sales,Revenue,355572.52,423040.58,Overdue,Sales,INR,66523.41,75870.73,Pending,0,0
TX006968,2024-08-10,C003,CC109,PC201,Salaries,Expense,415169.65,410516.96,Paid,Finance,INR,0.0,,Approved,0,0
TX006940,2024-10-18,C001,CC103,PC207,Other,Expense,65798.81,50207.63,Overdue,HR,INR,6607.65,,Approved,0,0
TX009122,2025-10-25,C003,CC114,PC202,Utilities,Expense,46503.77,41889.93,Paid,Administration,INR,5472.9,,Approved,0,0
TX007008,2024-10-30,C004,CC109,PC205,Office Supplies,Expense,23162.95,26251.9,Partially Paid,Finance,INR,0.0,,Approved,0,0
TX006152,2024-05-10,C002,CC106,PC203,Procurement,Expense,870574.91,880319.69,Paid,Operations,INR,148394.05,,Approved,0,0
TX009409,2025-11-16,C002,CC102,PC202,Office Supplies,Expense,57283.64,53224.84,Paid,IT,INR,6613.49,,Approved,0,0
TX003391,2022-03-12,C001,CC108,PC205,Utilities,Expense,12884.05,13535.68,Overdue,Administration,INR,0.0,,Approved,0,0
TX001512,2021-12-30,C001,CC106,PC201,Maintenance,Expense,87543.81,119243.1,Pending,Operations,INR,16036.13,,Approved,0,0
TX009680,2025-12-31,C003,CC102,PC205,Procurement,Expense,740342.65,724652.09,Pending,IT,INR,136369.64,,Approved,0,0
TX006503,2024-07-17,C001,CC109,PC203,Other,Expense,105045.07,122740.08,Pending,Finance,INR,10260.68,,Approved,0,0
TX008593,2025-07-17,C003,CC108,PC202,Other,Expense,41565.81,32450.34,Paid,Administration,INR,3818.14,,Pending,0,0
TX004744,2023-09-17,C003,CC109,PC202,IT,Expense,212657.35,216207.84,Paid,Finance,INR,39323.79,,Approved,0,0
TX001213,2021-10-19,C001,CC106,PC202,Sales,Revenue,636546.44,570770.04,Paid,Sales,INR,116975.1,243703.3,Approved,0,0
TX005205,2023-11-19,C005,CC114,PC201,Other,Expense,9583.42,9018.31,Paid,Administration,INR,923.64,,Approved,0,0
TX000090,2021-01-20,C001,CC102,PC202,Office Supplies,Expense,29943.99,29135.69,Paid,IT,INR,3553.43,,Under Review,0,0
TX000197,2021-02-20,C004,CC105,PC207,Travel,Expense,148933.17,160396.2,Partially Paid,Marketing,INR,7440.07,,Approved,0,0
TX008692,2025-07-20,C002,CC106,PC207,Maintenance,Expense,237406.22,229479.15,Paid,Operations,INR,42151.65,,Approved,0,0
TX005349,2023-12-20,C002,CC104,PC207,Sales,Revenue,648694.96,907266.72,Paid,Sales,INR,118909.77,168268.43,Approved,0,0
