Year_Month,Transaction_Type,Total_Amount,Total_Budget,Transaction_Count,Total_Tax
2021-01,Expense,14709639.290000001,13195904.01,101,1778079.77
2021-01,Revenue,8437831.52,8706017.34,17,1501784.11
2021-02,Expense,14371577.45,12701169.9,98,1596088.6
2021-02,Revenue,11672693.16,12231004.49,26,1986934.15
2021-03,Expense,29949213.44,25073185.06,135,3165005.93
2021-03,Revenue,15201713.77,14476574.62,25,2568532.9699999997
2021-04,Expense,17251021.57,17095298.759999998,115,1808196.65
2021-04,Revenue,11762185.49,10997565.48,20,1843308.76
2021-05,Expense,18282795.56,19098853.79,111,2600532.36
2021-05,Revenue,9830046.879999999,10546756.55,20,1765792.97
2021-06,Expense,19595332.25,20213688.6,124,2760644.95
2021-06,Revenue,14072954.52,15053163.1,28,2241213.99
2021-07,Expense,22041920.61,18809241.12,103,3073830.79
2021-07,Revenue,14874287.3,12987182.14,22,2029893.99
2021-08,Expense,16150946.12,17391078.9,98,2228764.03
2021-08,Revenue,11213624.89,11953846.41,22,1878432.02
2021-09,Expense,23615048.8,24448296.24,133,3671224.54
2021-09,Revenue,9281005.89,10054744.48,20,1593558.6199999999
2021-10,Expense,20512076.95,21754992.16,119,3129902.81
2021-10,Revenue,10738749.36,10796931.1,19,1924471.6099999999
2021-11,Expense,24807555.04,24470707.75,125,3115879.87
2021-11,Revenue,11295447.94,12013931.45,26,2035532.28
2021-12,Expense,23630452.56,24105351.77,153,3232751.59
2021-12,Revenue,15988316.34,17408451.87,29,2866625.03
2022-01,Expense,20572753.71,21493838.11,103,2940692.17
2022-01,Revenue,12254604.46,12558095.14,24,2125026.9699999997
2022-02,Expense,18323713.93,18900990.84,100,2604077.14
2022-02,Revenue,17534265.3,18549093.4,32,2980547.28
2022-03,Expense,31371486.99,30136088.5,147,4443114.39
2022-03,Revenue,11706299.65,11078230.76,25,1856010.33
2022-04,Expense,19431593.86,17805721.67,116,2324539.79
2022-04,Revenue,11844326.5,12054667.27,27,2142530.84
2022-05,Expense,23141273.03,23903241.74,119,3476944.81
2022-05,Revenue,10724983.63,11010609.08,22,1784538.03
2022-06,Expense,23459833.39,23064915.75,137,2965890.09
2022-06,Revenue,13436693.89,14896750.4,28,2421501.27
2022-07,Expense,25345229.64,25701373.11,113,3741105.65
2022-07,Revenue,13409034.24,13996416.96,25,2411940.47
2022-08,Expense,22674988.61,23076125.2,112,3017378.22
2022-08,Revenue,8206073.34,8680202.01,16,1484903.24
2022-09,Expense,22447572.45,23409761.55,137,3210034.22
2022-09,Revenue,16000797.96,16480918.61,29,2635708.5300000003
2022-10,Expense,20265101.45,20024011.9,132,2706888.51
2022-10,Revenue,11004650.33,9212058.56,18,1971027.6199999999
2022-11,Expense,24952028.81,25050410.01,143,3316017.86
2022-11,Revenue,10826285.72,11689102.02,22,1675570.08
2022-12,Expense,27296473.34,26725189.49,165,3959870.5300000003
2022-12,Revenue,16688286.4,17774099.2,28,2812121.91
2023-01,Expense,23862061.37,22256387.92,120,3342384.35
2023-01,Revenue,8896584.43,8701619.87,16,1397013.8699999999
2023-02,Expense,23602688.75,24633869.080000002,118,3361876.19
2023-02,Revenue,16311305.11,15246758.74,26,2663054.3200000003
2023-03,Expense,31558223.15,28333077.759999998,153,3921622.01
2023-03,Revenue,15036277.41,15953847.629999999,32,2467643.68
2023-04,Expense,23693932.74,25671066.64,134,3117674.3
2023-04,Revenue,12198612.39,13503155.22,21,1879907.04
2023-05,Expense,22009150.59,22883498.46,133,2590080.54
2023-05,Revenue,22577570.34,13939234.68,23,2414237.18
2023-06,Expense,33695165.38,32157754.79,151,4508097.73
2023-06,Revenue,15831204.03,14422602.61,26,2322478.19
2023-07,Expense,22755610.29,23594832.11,120,3045385.4699999997
2023-07,Revenue,13790810.05,14401964.85,24,2459051.98
2023-08,Expense,23644009.31,24050464.09,118,3233076.72
2023-08,Revenue,9011230.25,8714049.4,18,1351369.56
2023-09,Expense,30732160.5,28480930.48,146,3969989.84
2023-09,Revenue,24134141.03,16407510.63,30,2477846.41
2023-10,Expense,21504803.55,21669987.7,131,2564210.19
2023-10,Revenue,20607394.66,19402353.19,31,3005945.42
2023-11,Expense,28725254.57,30574990.77,156,3770886.98
2023-11,Revenue,13847713.35,13956928.99,22,2169653.66
2023-12,Expense,35838717.65,32506808.66,180,4565161.22
2023-12,Revenue,17381551.23,18729769.02,31,3084289.11
2024-01,Expense,26225275.29,26647642.37,125,3601053.77
2024-01,Revenue,18091213.43,15704073.3,22,2871064.65
2024-02,Expense,22915654.94,23352637.04,130,2951292.73
2024-02,Revenue,11650285.89,12908956.7,21,1872171.1
2024-03,Expense,28191312.669999998,30258401.2,166,3555058.38
2024-03,Revenue,21650956.75,22725807.68,33,3879265.38
2024-04,Expense,36113405.52,31076904.9,138,5860409.83
2024-04,Revenue,13443130.21,12741721.19,24,2405896.72
2024-05,Expense,25701703.48,26722226.37,135,3468940.33
2024-05,Revenue,19578259.81,17972557.34,28,2724002.2
2024-06,Expense,31351026.01,32628200.43,158,4549952.15
2024-06,Revenue,22049430.19,20277957.51,30,3398992.96
2024-07,Expense,26120965.38,27709146.29,134,4106935.55
2024-07,Revenue,22498129.05,15446818.95,23,2622746.15
2024-08,Expense,27385814.91,27250698.53,122,3920041.64
2024-08,Revenue,13990486.24,15266960.75,27,2440227.5700000003
2024-09,Expense,30819917.99,31849325.990000002,167,4175566.86
2024-09,Revenue,16290683.2,16509852.43,23,2836663.0
2024-10,Expense,29008168.35,28246393.81,140,4312094.26
2024-10,Revenue,28786435.3,22894531.23,32,4168375.43
2024-11,Expense,34472337.67,34967999.04,159,4784834.05
2024-11,Revenue,19435879.32,19345248.46,32,3213798.27
2024-12,Expense,51193937.89,44203188.28,193,6102370.96
2024-12,Revenue,23585843.42,20168191.78,34,3749821.15
2025-01,Expense,24797184.21,26166504.56,136,2842946.79
2025-01,Revenue,14134156.44,15800853.5,23,2185851.45
2025-02,Expense,31842838.34,30045718.13,135,4131509.59
2025-02,Revenue,19671755.48,20866930.06,27,3486533.16
2025-03,Expense,35885210.660000004,34945319.31,182,5138184.01
2025-03,Revenue,19774410.1,21764367.87,32,3311591.01
2025-04,Expense,30097500.66,27926121.38,145,3618817.32
2025-04,Revenue,32496465.490000002,22559552.69,30,3454910.25
2025-05,Expense,33923902.4,34739874.36,149,4635081.36
2025-05,Revenue,24639625.78,16051980.65,26,2635093.7
2025-06,Expense,51270896.97,34490059.6,171,4541927.35
2025-06,Revenue,20340560.58,20196415.93,31,3542363.04
2025-07,Expense,31633945.62,32823768.18,147,4683221.24
2025-07,Revenue,13305469.91,13561016.91,19,2151374.8
2025-08,Expense,29561517.05,27792548.47,129,3654008.17
2025-08,Revenue,16095945.35,15904970.15,27,2783067.65
2025-09,Expense,42182363.12,44140404.0,165,6139424.14
2025-09,Revenue,33103795.8,27837346.55,36,4490721.28
2025-10,Expense,29428396.97,30569905.25,157,3909868.31
2025-10,Revenue,25500919.86,20823064.31,28,3609706.7199999997
2025-11,Expense,38886833.03,36830086.63,173,4834813.91
2025-11,Revenue,29102690.47,20099269.28,28,4401136.62
2025-12,Expense,49635181.02,49100573.5,200,6766130.59
2025-12,Revenue,26537266.72,28505653.61,41,4695708.67
