Transaction_ID,Transaction_Date,Company_Code,Cost_Center,Profit_Center,Account_Category,Transaction_Type,Amount,Budget,Payment_Status,Description,Quantity,Department,Currency,Invoice_ID,Vendor_ID,Tax_Amount,Profit,Approval_Status,Anomaly_Indicator,Year,Month,Quarter,Budget_Variance,Budget_Utilization
TX005450,2024-01-17,C003,CC107,PC206,Procurement,Expense,660134.88,870600.3,Pending,Raw material procurement,653.0,Procurement,INR,INV-2024-04285,,115121.44,,Approved,0,2024,1,1,-210465.42000000004,75.82525298923053
TX000061,2021-01-21,C001,CC111,PC202,Marketing,Expense,226317.84,255507.62,Paid,Marketing campaign,1.0,Sales,INR,INV-2021-00045,V040,42898.57,,Approved,0,2021,1,1,-29189.78,88.57576928625456
TX007730,2025-10-02,C002,CC105,PC206,Marketing,Expense,381300.39,427732.69,Partially Paid,Trade show sponsorship,1.0,Marketing,INR,INV-2025-06066,V035,70826.38,,Approved,0,2025,10,4,-46432.29999999999,89.14455193967055
TX003695,2023-02-14,C002,CC112,PC204,Procurement,Expense,352712.21,360120.03,Partially Paid,Software license purchase,319.0,Operations,INR,INV-2023-02901,V001,62394.66,,Approved,0,2023,2,1,-7407.820000000007,97.94295807428428
TX001800,2022-02-25,C005,CC104,PC206,Sales,Revenue,599713.69,603576.07,Paid,Product sales revenue,450.0,Sales,INR,INV-2022-01433,,109719.59,164961.87,Pending,0,2022,2,1,-3862.3800000000047,99.3600839741708
TX006791,2024-09-02,C004,CC108,PC204,Other,Expense,70076.65,77205.87,Paid,Sundry adjustment,1.0,Administration,INR,,,7123.17,,Approved,0,2024,9,3,-7129.220000000001,90.76596118922046
TX002094,2022-04-03,C003,CC111,PC207,Sales,Revenue,167587.77,181150.06,Paid,Customer order fulfillment revenue,75.0,Sales,INR,INV-2022-01667,,29134.42,71889.81,Approved,0,2022,4,2,-13562.290000000008,92.51322908753107
TX008024,2025-04-27,C003,CC101,PC203,IT,Expense,209629.73,249186.29,Pending,Software license purchase,1.0,Finance,INR,INV-2025-06308,V029,37304.29,,Under Review,0,2025,4,2,-39556.56,84.12570771851053
TX003141,2022-11-04,C002,CC111,PC207,Office Supplies,Expense,37386.31,44326.22,Partially Paid,Stationery order,34.0,Sales,INR,INV-2022-02471,V036,4623.55,,Approved,0,2022,11,4,-6939.910000000004,84.34355557500729
TX005245,2023-12-04,C002,CC111,PC207,Other,Expense,151468.87,156218.85,Pending,General ledger correction entry,1.0,Sales,INR,INV-2023-04125,,15840.34,,Approved,0,2023,12,4,-4749.9800000000105,96.9594066273052
