Transaction_ID,Transaction_Date,Company_Code,Cost_Center,Profit_Center,Account_Category,Transaction_Type,Amount,Budget,Payment_Status,Description,Quantity,Department,Currency,Invoice_ID,Vendor_ID,Tax_Amount,Profit,Approval_Status,Anomaly_Indicator
TX005450,01-17-2024,C003,CC107,PC206,Procurement,Expense,660134.88,870600.3,Pending,Raw material procurement,653,Procurement,INR,INV-2024-04285,,115121.44,,Approved,0
TX000061,01-21-2021,C001,CC111,PC202,Marketing,Expense,226317.84,255507.62,Paid,Marketing campaign,1,Sales,INR,INV-2021-00045,V040,42898.57,,Approved,0
TX007730,02-10-2025,C002,CC105,PC206,Marketing,Expense,381300.39,427732.69,Partially Paid,Trade show sponsorship,1,Marketing,INR,INV-2025-06066,V035,70826.38,,Approved,0
TX003695,02-14-2023,C002,CC112,PC204,Procurement,Expense,352712.21,360120.03,Partially Paid,Software license purchase,319,Operations,INR,INV-2023-02901,V001,62394.66,,Approved,0
TX001800,02-25-2022,C005,CC104,PC206,Sales,Revenue,599713.69,603576.07,Paid,Product sales revenue,450,Sales,INR,INV-2022-01433,,109719.59,164961.87,Pending,0
TX006791,02-09-2024,C004,CC108,PC204,Other,Expense,70076.65,77205.87,Paid,Sundry adjustment,1,Administration,INR,,,7123.17,,Approved,0
TX002094,03-04-2022,C003,CC111,PC207,Sales,Revenue,167587.77,181150.06,Paid,Customer order fulfillment revenue,75,Sales,INR,INV-2022-01667,,29134.42,71889.81,Approved,0
TX008024,04-27-2025,C003,CC101,PC203,IT,Expense,209629.73,249186.29,Pending,Software license purchase,1,Finance,INR,INV-2025-06308,V029,37304.29,,Under Review,0
TX003141,04-11-2022,C002,CC111,PC207,Office Supplies,Expense,37386.31,44326.22,Partially Paid,Stationery order,34,Sales,INR,INV-2022-02471,V036,4623.55,,Approved,0
TX005245,04-12-2023,C002,CC111,PC207,Other,Expense,151468.87,156218.85,Pending,General ledger correction entry,1,Sales,INR,INV-2023-04125,,15840.34,,Approved,0
TX002241,05-07-2022,C002,CC109,PC207,Salaries,Expense,183768.57,183965.99,Pending,Employee payroll disbursement,1,Finance,INR,,,0,,Approved,0
TX002325,05-17-2022,C002,CC110,PC201,Procurement,Expense,218148.19,184653.8,Paid,Vendor purchase order settlement,178,IT,INR,INV-2022-01829,V019,37967.67,,Approved,0
